Test Name,IDAM API Calls,IDAM Code API Calls,Service Token Calls,User ID Calls,CCD API calls,Total API Calls
Contested - Create Case FormA Matrimonial Submission by Solicitor retry 0,0,0,0,0,0,0
Contested - Caseworker view tabs post case creation retry 0,2,2,2,2,4,12
Contested - Create Case Form A Childrens Act Submission by Solicitor retry 0,0,0,0,0,0,0
Create Express Case - Contested FormA Submission, suitable for Express case processing retry 0,0,0,0,0,0,0
Create Case - Contested Paper Case - Express Pilot retry 0,0,0,0,0,0,0
Create Case - Contested Paper Case retry 0,0,0,0,0,0,0
Create Case - Contested Paper case Children Act Submission by Case Worker retry 0,0,0,0,0,0,0
Form A case creating a hearing from Process Order retry 0,8,8,8,8,16,48
Paper Case creating a hearing from Process Order retry 0,7,7,7,7,14,42
Form A case shows old-style Process Order hearings on the new hearing tab retry 0,6,6,6,6,12,36
Paper case shows old-style Process Order hearings on the new hearing tab retry 0,5,5,5,5,10,30
Paper case shows old-style Process Order hearings on the new hearing tab after any manage hearings event retry 0,5,5,5,5,10,30
Form A case creating a hearing from Process Order (MH) retry 0,7,7,7,7,14,42
Paper Case creating a hearing from Process Order (MH) retry 0,7,7,7,7,14,42
Form A case Process Order (MH) with no hearing added retry 0,8,8,8,8,16,48
Contested - General Application e2e retry 0,4,4,4,4,8,24
Form A case creating a hearing from general application directions retry 0,7,7,7,7,14,42
Paper Case creating a hearing from general application directions retry 0,6,6,6,6,12,36
Form A case shows old-style General Application Direction hearings on the new hearing tab retry 0,7,7,7,7,14,42
Paper case shows old-style General Application Direction hearings on the new hearing tab retry 0,6,6,6,6,12,36
General Application Directions (MH) with hearing retry 0,9,9,9,9,18,54
Paper case - General Application Directions (MH) with hearing  retry 0,8,8,8,8,16,48
Should display EP question if it is an express pilot case. retry 0,5,5,5,5,10,30
Should NOT display EP question if it is NOT an express pilot case. retry 0,5,5,5,5,10,30
Should display a static warning message if it is an express pilot case retry 0,5,5,5,5,10,30
Should NOT display a warning message if it is not an express pilot case. retry 0,5,5,5,5,9,29
Contested - FormA - Judge Give Allocation Direction retry 0,4,4,4,4,8,24
Form A case retry 0,2,2,2,2,4,12
Form A case with Manage Hearings Migration retry 0,2,2,2,2,4,12
Paper Case retry 0,1,1,1,1,2,6
Contested - Manage Barrister retry 0,4,4,4,4,8,24
Contested - Caseworker Manage Case Documents retry 0,4,4,4,4,8,24
Contested - Enrolled case (Form A Case) - Remove case from express pilot retry 0,4,4,4,4,8,24
Contested - Enrolled case (Paper Case) - Remove case from express pilot retry 0,3,3,3,3,6,18
Contested - Not qualified case (Form A Case) - Show not enrolled message retry 0,4,4,4,4,8,24
Contested - Not qualified case (Paper Case) - Show not enrolled message retry 0,3,3,3,3,6,18
Contested - Assert validations - Manage Hearings - Pre-Trial Review (PTR) retry 0,4,4,4,4,8,24
Contested - Caseworker adds hearings for Form A case - Maintenance Pending Suit (MPS) retry 0,4,4,4,4,8,24
Contested - Caseworker adds hearings for Form A case - First Directions Appointment (FDA) retry 0,4,4,4,4,8,24
Contested - Caseworker adds hearings for Form A case - Financial Dispute Resolution (FDR) retry 0,4,4,4,4,8,24
Contested - Manage Hearings - Add Hearing and verify access to CFV retry 0,2,2,2,2,4,12
Contested - Add a hearing with case factory and assert tab date as a Judge retry 0,5,5,5,5,10,30
Contested - Check state is Prepare For Hearing after Add a Hearing event retry 0,5,5,5,5,10,30
Contested - Add & Remove Interveners, login as Intervener and verify. retry 0,4,4,4,4,8,24
Form A case up to process order and send order retry 0,9,9,9,9,18,54
Contested - Send Order to an applicant solicitor retry 0,4,4,4,4,8,24
Form A case up to List for Hearing and Submit Uploaded Case Files retry 0,6,6,6,6,12,36
Contested - Update Contact Details as a caseworker retry 0,3,3,3,3,6,18
Contested - Update contact details - change in representation retry 0,3,3,3,3,6,18
Form A case shows old-style hearings created by upload approved order event on the new hearing tab retry 0,7,7,7,7,14,42
New Upload Approved Order (MH) event with hearing retry 0,7,7,7,7,14,42
Form A case uploading a Agreed draft order retry 0,7,7,7,7,14,42
Form A case uploading a Suggested draft order retry 0,6,6,6,6,12,36
Contested - Upload Draft Order - Verify user confidentiality with hearings retry 0,5,5,5,5,10,30
